x,y,c
71.24,28,1
52.53,25,2
64.54,27,2
55.69,22,2
54.58,25,2
41.91,10,2
58.64,20,1
52.02,8,1
31.25,34,2
44.31,19,2
49.35,40,2
58.07,45,2
44.22,22,2
55.73,19,2
46.63,43,2
52.97,32,2
46.25,35,2
51.55,27,2
57.05,26,2
58.45,30,2
43.42,23,2
55.68,37,2
55.15,18,1
43.84,22,2
59.26,32,2
37.14,41,2
64.3,29,2
45.75,16,2
45.97,23,2
56.04,39,2
33.64,45,2
41.67,33,2
50.68,39,2
54.22,35,2
56.2,29,2
46.16,41,2
50.22,24,2
49.66,33,2
38.61,37,2
55.28,36,2
57.87,41,2
61.69,12,1
37.41,21,2
53.83,32,2
62.98,22,1
46.97,13,2
58.03,24,2
59.87,36,2
81.34,31,1
48.56,26,2
17.66,23,2
46.01,21,2
45.34,26,2
39.64,31,2
51.22,36,2
36.21,31,2
47.32,55,2
54.87,27,2
58.97,6,1
57.3,42,2
59.94,32,2
61.72,25,2
53.19,23,2
35.13,38,2
48.47,20,2
51.17,43,2
42.14,39,2
54.31,35,2
48.93,32,2
53.51,44,2
51.72,24,2
49.86,10,1
49.2,41,2
60.2,39,2
54.06,20,2
72.91,30,1
61.92,40,2
44.2,24,2
60.75,39,2
68.36,37,2
56.39,20,2
38.19,15,2
66.19,27,1
58.2,17,1
47.55,22,2
37.62,16,2
17.81,26,2
31.25,29,2
61,41,2
40.98,33,2
53.69,24,2
51.46,9,1
64.57,29,2
53.79,23,2
64.28,34,2
38.41,24,2
58.89,42,2
44.17,33,2
50.41,43,2
63.63,28,2
45.78,24,2
55.61,20,2
67.23,5,1
49.69,38,2
54.6,30,2
40.94,59,2
43.84,36,2
56.36,19,1
69.53,23,1
51.48,19,2
52.93,41,2
55.52,8,1
52.14,23,2
62.86,21,1
37.53,33,2
63.47,25,1
62.11,33,2
43.52,25,2
47.97,27,2
42.27,37,2
56.05,30,2
62.08,37,2
35.25,53,2
39.81,25,2
60.27,33,2
53.41,22,2
56.28,27,2
53.31,25,2
55.24,30,2
44.97,29,2
40.3,43,2
47.18,42,2
46.4,34,2
35.11,15,2
54.33,38,2
54.59,64,2
61.67,50,2
52.39,19,2
52.37,6,1
40.84,25,2
27.42,27,2
44.79,31,2
59.84,37,2
36,45,2
47.64,10,1
51.85,37,2
59.73,15,1
42.96,37,2
51.84,27,2
59.62,23,2
58.82,30,2
50.93,30,2
41.35,23,2
24.58,45,2
57.74,22,2
38.14,33,2
51.82,20,2
41.37,17,2
55.01,24,2
64.56,53,2
46.09,35,2
57.81,20,1
46.31,23,2
66.62,37,2
42.89,17,2
40.82,23,2
50.55,41,2
40.43,40,2
53.36,25,2
44.83,27,2
35.87,35,2
46.95,23,2
47.75,20,2
57.12,26,2
